	genre	document_id	sent	boundary
0	transcript	transcript_Bed003	Nice.	no
1	transcript	transcript_Bed003	O_K.	no
2	transcript	transcript_Bed003	to - to handle.	no
3	transcript	transcript_Bed003	Is that good?	no
4	transcript	transcript_Bed003	Right.	no
5	transcript	transcript_Bed003	Yeah, I've have never handled them.	no
6	transcript	transcript_Bed003	Goats eat cans,	no
7	transcript	transcript_Bed003	to my understanding.	no
8	transcript	transcript_Bed003	Did we need to do these things?	no
9	transcript	transcript_Bed003	Tin cans.	no
10	transcript	transcript_Bed003	You don't need to read the digits if we think that that's torture but the reason these are out there is do put your name on it because it's the only record I have of actually who was sitting there.	no
11	transcript	transcript_Bed003	O_K.	no
12	transcript	transcript_Bed003	Um, your name and	no
13	transcript	transcript_Bed003	O_K. You should be	no
14	transcript	transcript_Bed003	And we can - you can flip this and uh get rid of the screen but	no
15	transcript	transcript_Bed003	Could I hit - hit F_seven to do that?	no
16	transcript	transcript_Bed003	on the -	no
17	transcript	transcript_Bed003	The uh - the - the remote	no
18	transcript	transcript_Bed003	Robert?	no
19	transcript	transcript_Bed003	Oh, the	no
20	transcript	transcript_Bed003	O_K.	no
21	transcript	transcript_Bed003	O_K. Have a great meeting. I'll - I'll come back up in about an hour and check and see if	no
22	transcript	transcript_Bed003	You	no
23	transcript	transcript_Bed003	All ready?	no
24	transcript	transcript_Bed003	Wow, we're all so high tech here.	no
25	transcript	transcript_Bed003	I - Well it makes it easier	no
26	transcript	transcript_Bed003	Certainly does.	no
27	transcript	transcript_Bed003	So,	no
28	transcript	transcript_Bed003	Johno, where are you?	no
29	transcript	transcript_Bed003	O_K.	no
30	transcript	transcript_Bed003	So,	no
31	transcript	transcript_Bed003	Let's see.	no
32	transcript	transcript_Bed003	Aha!	no
33	transcript	transcript_Bed003	Should you go back to the first one?	no
34	transcript	transcript_Bed003	Well -	no
35	transcript	transcript_Bed003	Do I wanna go	no
36	transcript	transcript_Bed003	I'm sorry I -	no
37	transcript	transcript_Bed003	Well, I mean,	no
38	transcript	transcript_Bed003	O_K. Introduce.	no
39	transcript	transcript_Bed003	O_K.	no
40	transcript	transcript_Bed003	I can read!	no
41	transcript	transcript_Bed003	talks about uh -	no
42	transcript	transcript_Bed003	Mm-hmm.	no
43	transcript	transcript_Bed003	But if you really want to find out what it's about you have to	no
44	transcript	transcript_Bed003	Although I've - I've never - I don't know what the light bulb is for. I didn't i- install that into my	no
45	transcript	transcript_Bed003	It opens the Assistant that tells you that the font type is too small.	no
46	transcript	transcript_Bed003	Ah.	no
47	transcript	transcript_Bed003	Do you wanna	no
48	transcript	transcript_Bed003	I'd	no
49	transcript	transcript_Bed003	O_K.	no
50	transcript	transcript_Bed003	Continue.	no
51	transcript	transcript_Bed003	It's a needless good idea. Is that the idea?	no
52	transcript	transcript_Bed003	Why are you doing this in	no
53	transcript	transcript_Bed003	Because I'm gonna switch to the JavaBayes	no
54	transcript	transcript_Bed003	Oh! O_K. Of course. Mm-hmm.	no
55	transcript	transcript_Bed003	program and then	no
56	transcript	transcript_Bed003	it'll mess everything up.	no
57	transcript	transcript_Bed003	Is that O_K?	no
58	transcript	transcript_Bed003	Yeah, it's O_K.	no
59	transcript	transcript_Bed003	Sure.	no
60	transcript	transcript_Bed003	Can you	no
61	transcript	transcript_Bed003	Proceed.	no
62	transcript	transcript_Bed003	You want me to - Wait, what do you want me to do?	no
63	transcript	transcript_Bed003	Can you maximize the window so all that stuff on the side isn't - doesn't appear?	no
64	transcript	transcript_Bed003	No, It's O_K. It's -	no
65	transcript	transcript_Bed003	Well I can	no
66	transcript	transcript_Bed003	O_K, fine.	no
67	transcript	transcript_Bed003	Here, let's see if I can -	no
68	transcript	transcript_Bed003	Alright.	no
69	transcript	transcript_Bed003	Very nice.	no
70	transcript	transcript_Bed003	Is that better?	no
71	transcript	transcript_Bed003	Yeah.	no
72	transcript	transcript_Bed003	O_K.	no
73	transcript	transcript_Bed003	"Uh - I'll also get rid of this ""Click to add notes""."	no
74	transcript	transcript_Bed003	O_K.	no
75	transcript	transcript_Bed003	Perfect.	yes
76	transcript	transcript_Bed003	So then the features we decided - or we	no
77	transcript	transcript_Bed003	Uh the - the prosody, the discourse,	no
78	transcript	transcript_Bed003	"""to go"" and ""to visit"" and what not."	no
79	transcript	transcript_Bed003	"The ""landmark-iness"" of uh -"	no
80	transcript	transcript_Bed003	I knew you'd like that.	no
81	transcript	transcript_Bed003	Thank you. uh,	no
82	transcript	transcript_Bed003	of a - of a building.	no
83	transcript	transcript_Bed003	Whether the-	no
84	transcript	transcript_Bed003	and this i- we actually have a separate feature but I decided to put it on the same line	no
85	transcript	transcript_Bed003	"""Nice walls"""	no
86	transcript	transcript_Bed003	which we can look up because I mean if you're gonna	no
87	transcript	transcript_Bed003	And it's either because you're in	no
88	transcript	transcript_Bed003	The context, which in this case we've limited to	no
89	transcript	transcript_Bed003	the time of day,	no
90	transcript	transcript_Bed003	"and ""open to suggestions"", isn't actually a feature."	no
91	transcript	transcript_Bed003	It's	no
92	transcript	transcript_Bed003	uh, in this particular domain - you said - be - i- it could be on two different lines	no
93	transcript	transcript_Bed003	but are you saying that in this particular domain it happens the - that landmark-iness cor- is correlated with	no
94	transcript	transcript_Bed003	No. We have a separate	no
95	transcript	transcript_Bed003	Oh -	no
96	transcript	transcript_Bed003	They're separate things.	no
97	transcript	transcript_Bed003	their being nice w-	no
98	transcript	transcript_Bed003	feature.	no
99	transcript	transcript_Bed003	Yeah.	no
100	transcript	transcript_Bed003	And - and -	no
101	transcript	transcript_Bed003	Like you could have a p-	no
102	transcript	transcript_Bed003	"By ""nice"" you mean -"	no
103	transcript	transcript_Bed003	You - Like you could have a post office with uh - you know, nice murals or something.	no
104	transcript	transcript_Bed003	Right.	no
105	transcript	transcript_Bed003	"O_K. So ""nice walls"" is a stand in for like architecturally it, uh - significant or something like that."	no
106	transcript	transcript_Bed003	Or one time I was at this -	no
107	transcript	transcript_Bed003	Architecturally appealing from the outside.	no
108	transcript	transcript_Bed003	But see the thing is, if it's -	no
109	transcript	transcript_Bed003	O_K.	no
110	transcript	transcript_Bed003	Yeah but if it's	no
111	transcript	transcript_Bed003	"Like you m- might be able to ""Vista"" it, right? And be able to -"	no
112	transcript	transcript_Bed003	Mm-hmm.	no
113	transcript	transcript_Bed003	Mm-hmm.	no
114	transcript	transcript_Bed003	Appreciate it.	no
115	transcript	transcript_Bed003	Yeah, versus,	no
116	transcript	transcript_Bed003	like, I was at this place in Europe where they had little carvings	no
117	transcript	transcript_Bed003	Mm-hmm.	no
118	transcript	transcript_Bed003	of, like, dead people on the walls or something.	no
119	transcript	transcript_Bed003	I don't remember w-	no
120	transcript	transcript_Bed003	Uh-huh.	no
121	transcript	transcript_Bed003	It was a long time ago.	no
122	transcript	transcript_Bed003	There's a lot of those.	no
123	transcript	transcript_Bed003	But if you looked at it real close, you could see the - the in- intricacy of the -	no
124	transcript	transcript_Bed003	of the walls.	no
125	transcript	transcript_Bed003	O_K. So that count as - counts as a nice wall.	no
126	transcript	transcript_Bed003	Right.	no
127	transcript	transcript_Bed003	The - O_K.	no
128	transcript	transcript_Bed003	Mm-hmm.	no
129	transcript	transcript_Bed003	Right.	no
130	transcript	transcript_Bed003	Something you want to inspect at close range	no
131	transcript	transcript_Bed003	The -	no
132	transcript	transcript_Bed003	Exactly.	no
133	transcript	transcript_Bed003	Hmm.	no
134	transcript	transcript_Bed003	Robert?	no
135	transcript	transcript_Bed003	Well there - there is a term	no
136	transcript	transcript_Bed003	"And I was just wondering whether that's the same as what you describe as ""landmark-iness""."	no
137	transcript	transcript_Bed003	But it's really	no
138	transcript	transcript_Bed003	Hmm.	no
139	transcript	transcript_Bed003	Not a landmark at all.	no
140	transcript	transcript_Bed003	not a landmark at all.	no
141	transcript	transcript_Bed003	Right.	no
142	transcript	transcript_Bed003	Yep.	no
143	transcript	transcript_Bed003	Yeah, we meant, uh, touristic reasons.	no
144	transcript	transcript_Bed003	O_K.	no
145	transcript	transcript_Bed003	Yeah.	no
146	transcript	transcript_Bed003	Hmm.	no
