	genre	document_id	sent	boundary
0	transcript	transcript_Bed003	Nice.	no
1	transcript	transcript_Bed003	O_K.	no
2	transcript	transcript_Bed003	to - to handle.	no
3	transcript	transcript_Bed003	Is that good?	no
4	transcript	transcript_Bed003	Right.	no
5	transcript	transcript_Bed003	Yeah, I've have never handled them.	no
6	transcript	transcript_Bed003	Goats eat cans,	no
7	transcript	transcript_Bed003	to my understanding.	no
8	transcript	transcript_Bed003	Did we need to do these things?	no
9	transcript	transcript_Bed003	Tin cans.	no
10	transcript	transcript_Bed003	You don't need to read the digits if we think that that's torture but the reason these are out there is do put your name on it because it's the only record I have of actually who was sitting there.	no
11	transcript	transcript_Bed003	Wow .	no
12	transcript	transcript_Bed003	O_K.	no
13	transcript	transcript_Bed003	Um, your name and  some but it .	no
14	transcript	transcript_Bed003	O_K. You should be  in play .	no
15	transcript	transcript_Bed003	And we can - you can flip this and uh get rid of the screen but  @@	no
16	transcript	transcript_Bed003	Could I hit - hit F_seven to do that?	no
17	transcript	transcript_Bed003	on the -	no
18	transcript	transcript_Bed003	The uh - the - the remote  @@	no
19	transcript	transcript_Bed003	Robert?	no
20	transcript	transcript_Bed003	@@	no
21	transcript	transcript_Bed003	Oh, the  remote  will do it O_K. Cuz I'm already up there?	no
22	transcript	transcript_Bed003	O_K.	no
23	transcript	transcript_Bed003	@@	no
24	transcript	transcript_Bed003	I'm  in control here.	no
25	transcript	transcript_Bed003	O_K. Have a great meeting. I'll - I'll come back up in about an hour and check and see if  you're still meeting .	no
26	transcript	transcript_Bed003	You  are  in control.	no
27	transcript	transcript_Bed003	All ready?	no
28	transcript	transcript_Bed003	Wow, we're all so high tech here.  Yet another p- PowerPoint presentation.	no
29	transcript	transcript_Bed003	I - Well it makes it easier  to do PowerPoint.	no
30	transcript	transcript_Bed003	Certainly does.	no
31	transcript	transcript_Bed003	So,  we were - Ah!	no
32	transcript	transcript_Bed003	Johno, where are you?	no
33	transcript	transcript_Bed003	O_K.	no
34	transcript	transcript_Bed003	So,	no
35	transcript	transcript_Bed003	Let's see.  Which one of these buttons will do this for me?	no
36	transcript	transcript_Bed003	Aha!  O_K.	no
37	transcript	transcript_Bed003	Should you go back to the first one?	no
38	transcript	transcript_Bed003	Well -	no
39	transcript	transcript_Bed003	Do I wanna go  back  to the first one? O_K.	no
40	transcript	transcript_Bed003	I'm sorry I -	no
41	transcript	transcript_Bed003	Well, I mean,  just to -	no
42	transcript	transcript_Bed003	O_K. Introduce.	no
43	transcript	transcript_Bed003	O_K.	no
44	transcript	transcript_Bed003	"Yeah, um-  Well, ""the search for the middle layer"".  It's basically uh"	no
45	transcript	transcript_Bed003	I can read!  I'm kidding.	no
46	transcript	transcript_Bed003	talks about uh -  It just refers to the fact that uh  one of main things we had to do was to  decide what the intermediate sort of nodes were, you know, because -	no
47	transcript	transcript_Bed003	Mm-hmm.	no
48	transcript	transcript_Bed003	But if you really want to find out what it's about you have to  click on the little  light bulb.	no
49	transcript	transcript_Bed003	Although I've - I've never - I don't know what the light bulb is for. I didn't i- install that into my  PowerPoint presentation.	no
50	transcript	transcript_Bed003	It opens the Assistant that tells you that the font type is too small.	no
51	transcript	transcript_Bed003	Ah.	no
52	transcript	transcript_Bed003	Do you wanna  try?	no
53	transcript	transcript_Bed003	Ach u-	no
54	transcript	transcript_Bed003	I'd  prefer   not  to.	no
55	transcript	transcript_Bed003	O_K.	no
56	transcript	transcript_Bed003	Continue.	no
57	transcript	transcript_Bed003	It's a needless good idea. Is that the idea?  O_K.	no
58	transcript	transcript_Bed003	Why are you doing this in  this  mode and not in the  presentation  mode?	no
59	transcript	transcript_Bed003	Because I'm gonna switch to the JavaBayes	no
60	transcript	transcript_Bed003	Oh! O_K. Of course. Mm-hmm.	no
61	transcript	transcript_Bed003	program and then  if I do that	no
62	transcript	transcript_Bed003	it'll mess everything up.	no
63	transcript	transcript_Bed003	I was wondering.	no
64	transcript	transcript_Bed003	Is that O_K?	no
65	transcript	transcript_Bed003	Yeah, it's O_K.	no
66	transcript	transcript_Bed003	Sure.	no
67	transcript	transcript_Bed003	Can you  maximize   the window?	no
68	transcript	transcript_Bed003	Proceed.	no
69	transcript	transcript_Bed003	You want me to - Wait, what do you want me to do?	no
70	transcript	transcript_Bed003	Can you maximize the window so all that stuff on the side isn't - doesn't appear?	no
71	transcript	transcript_Bed003	No, It's O_K. It's -  It'll work .	no
72	transcript	transcript_Bed003	Well I can  do  that, but then I have to end the presentation in the  middle  so I can go back to open up  JavaBayes.	no
73	transcript	transcript_Bed003	O_K, fine.	no
74	transcript	transcript_Bed003	Here, let's see if I can -	no
75	transcript	transcript_Bed003	Alright.	no
76	transcript	transcript_Bed003	Very nice.	no
77	transcript	transcript_Bed003	Is that better?	no
78	transcript	transcript_Bed003	Yeah.	no
79	transcript	transcript_Bed003	O_K.	no
80	transcript	transcript_Bed003	"Uh - I'll also get rid of this ""Click to add notes""."	no
81	transcript	transcript_Bed003	O_K.	no
82	transcript	transcript_Bed003	Perfect.	no
83	transcript	transcript_Bed003	So then the features we decided - or we  decided  we were -  talked  about, right?	yes
84	transcript	transcript_Bed003	So then the features we decided - or we  decided  we were -  talked  about, right?	no
85	transcript	transcript_Bed003	Uh the - the prosody, the discourse,  verb choice. You know. We had a list of things like	no
86	transcript	transcript_Bed003	"""to go"" and ""to visit"" and what not."	no
87	transcript	transcript_Bed003	"The ""landmark-iness"" of uh -"	no
88	transcript	transcript_Bed003	I knew you'd like that.	no
89	transcript	transcript_Bed003	Nice coinage.	no
90	transcript	transcript_Bed003	Thank you. uh,	no
91	transcript	transcript_Bed003	of a - of a building.	no
92	transcript	transcript_Bed003	Whether the-	no
93	transcript	transcript_Bed003	and this i- we actually have a separate feature but I decided to put it on the same line  for space.	no
94	transcript	transcript_Bed003	"""Nice walls"""	no
95	transcript	transcript_Bed003	which we can look up because I mean if you're gonna  get real close to a building in the  Tango  mode, right, there's  gotta  be a  reason  for it.	no
96	transcript	transcript_Bed003	And it's either because you're in  route  to something else or you wanna look at the  walls.	no
97	transcript	transcript_Bed003	"The context, which in this case we've limited to  ""business person"", ""tourist"", or  ""unknown"","	no
98	transcript	transcript_Bed003	the time of day,	no
99	transcript	transcript_Bed003	"and ""open to suggestions"", isn't actually a feature."	no
100	transcript	transcript_Bed003	"It's  ""We are open to suggestions."""	no
101	transcript	transcript_Bed003	Right. can I just ask the nice walls part of it is that	no
102	transcript	transcript_Bed003	uh, in this particular domain - you said - be - i- it could be on two different lines	no
103	transcript	transcript_Bed003	but are you saying that in this particular domain it happens the - that landmark-iness cor- is correlated with	no
104	transcript	transcript_Bed003	No. We have a separate	no
105	transcript	transcript_Bed003	Oh -	no
106	transcript	transcript_Bed003	They're separate things.	no
107	transcript	transcript_Bed003	their being nice w-  O_K.	no
108	transcript	transcript_Bed003	feature.	no
109	transcript	transcript_Bed003	"Yeah.  I either could put ""nice walls"" on its own line or ""open to suggestions"" off the slide."	no
110	transcript	transcript_Bed003	And - and -	no
111	transcript	transcript_Bed003	Like you could have a p-	no
112	transcript	transcript_Bed003	"By ""nice"" you mean -"	no
113	transcript	transcript_Bed003	You - Like you could have a post office with uh - you know, nice murals or something.	no
114	transcript	transcript_Bed003	Right.	no
115	transcript	transcript_Bed003	"O_K. So ""nice walls"" is a stand in for like architecturally it, uh - significant or something like that."	no
116	transcript	transcript_Bed003	Or one time I was at this -	no
117	transcript	transcript_Bed003	Architecturally appealing from the outside.	no
118	transcript	transcript_Bed003	But see the thing is, if it's -	no
119	transcript	transcript_Bed003	O_K.	no
120	transcript	transcript_Bed003	Yeah but if it's  architecturally  significant you might be able to see it from -	no
121	transcript	transcript_Bed003	"Like you m- might be able to ""Vista"" it, right? And be able to -"	no
122	transcript	transcript_Bed003	Mm-hmm.	no
123	transcript	transcript_Bed003	Mm-hmm.	no
124	transcript	transcript_Bed003	Appreciate it.	no
125	transcript	transcript_Bed003	Yeah, versus,	no
126	transcript	transcript_Bed003	like, I was at this place in Europe where they had little carvings	no
127	transcript	transcript_Bed003	Mm-hmm.	no
